ecgi,cluster,municipio,day_date,periodo,n_usuarios,n_sessoes,download_bytes,upload_bytes,dur_media_s,drop_pct_medio,congestionamento_medio,chamadas_total,mensagens_total,lat,lon
7240501005309970,AEROPORTO_HLZ,Florianopolis,2026-03-08,TARDE,2161,10334,181286508857,27963376863,483,0.0697,0.35,7340,5825,-27.699858,-48.550608
724050697341879,RESIDENCIAL_NORTE,Florianopolis,2026-03-08,TARDE,2451,11810,223364421694,33742394327,483,0.0697,0.347,8426,6747,-27.542733,-48.505306
724050697341879,RESIDENCIAL_NORTE,Florianopolis,2026-03-08,MANHA,1395,5779,101602761718,15346801668,486,0.0688,0.356,4125,3253,-27.542733,-48.505306
724050687263808,INGLESES,Florianopolis,2026-03-08,MANHA,1154,4629,83778966522,12788564485,464,0.0702,0.348,3413,2691,-27.439722,-48.387592
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-08,NOITE,2518,11987,224359635573,33297036776,482,0.0684,0.35,8382,6692,-27.591397,-48.54975
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-08,MANHA,1457,5785,106569674841,15888773339,480,0.0675,0.35,4204,3426,-27.591397,-48.54975
7240501005162597,LAGOA_CONCEICAO,Florianopolis,2026-03-08,TARDE,2267,10784,187829868877,28891751692,481,0.0677,0.352,7690,6146,-27.573889,-48.431667
7240501005162597,LAGOA_CONCEICAO,Florianopolis,2026-03-08,MANHA,1261,5135,96006192546,14289774084,493,0.0679,0.348,3637,2890,-27.573889,-48.431667
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-08,MANHA,1516,6093,118025087137,17626973303,479,0.07,0.345,4411,3477,-27.585,-48.543889
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-08,TARDE,2608,12150,224223021913,34516676046,476,0.0686,0.345,8544,7114,-27.585,-48.543889
724050697368777,CBD_BEIRAMAR,Florianopolis,2026-03-09,NOITE,2158,9441,133387729252,19902466154,472,0.0686,0.353,6559,5346,-27.595017,-48.548794
724050697368777,CBD_BEIRAMAR,Florianopolis,2026-03-09,TARDE,2468,11516,161406119780,24209022844,471,0.0699,0.356,8144,6482,-27.595017,-48.548794
724050684144778,CBD_BEIRAMAR,Florianopolis,2026-03-09,NOITE,2077,9313,131882841783,19916668508,488,0.0686,0.345,6571,5204,-27.595694,-48.548194
724050684144778,CBD_BEIRAMAR,Florianopolis,2026-03-09,TARDE,2420,11194,170598309560,26062902596,475,0.0685,0.356,7905,6514,-27.595694,-48.548194
724050684144778,CBD_BEIRAMAR,Florianopolis,2026-03-09,MADRUGADA,690,2523,38221031463,5993788064,483,0.0702,0.358,1840,1423,-27.595694,-48.548194
7240501003510334,CBD_BEIRAMAR,Florianopolis,2026-03-09,TARDE,2410,11076,157980193423,23771308235,479,0.0675,0.354,7744,6379,-27.580392,-48.542172
7240501003510334,CBD_BEIRAMAR,Florianopolis,2026-03-09,NOITE,2172,9236,133234679237,19820348078,474,0.0678,0.349,6771,5406,-27.580392,-48.542172
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-09,MANHA,2081,8998,131799166234,19613151176,468,0.0676,0.346,6530,5261,-27.585,-48.543889
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-09,TARDE,2446,11335,169035133636,25284468135,477,0.0681,0.347,8176,6485,-27.582264,-48.534361
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-09,NOITE,2149,9328,135822967192,20445370121,474,0.069,0.351,6658,5310,-27.582264,-48.534361
724050697792102,CBD_BEIRAMAR,Florianopolis,2026-03-09,TARDE,2466,11425,176499049484,26370817932,477,0.0675,0.351,7991,6616,-27.591372,-48.552747
724050697792102,CBD_BEIRAMAR,Florianopolis,2026-03-09,MANHA,2087,9065,139128008233,20833497452,480,0.0678,0.345,6517,5352,-27.591372,-48.552747
724050685015130,PALHOCA_PEDRA_BRANCA,Palhoca,2026-03-10,NOITE,2509,11416,227992508025,34338155463,487,0.0693,0.352,8097,6572,-27.622639,-48.674258
724050685015130,PALHOCA_PEDRA_BRANCA,Palhoca,2026-03-10,MADRUGADA,842,3240,62444118088,9642363903,479,0.0707,0.352,2318,1817,-27.622639,-48.674258
724050685015130,PALHOCA_PEDRA_BRANCA,Palhoca,2026-03-10,TARDE,2992,14400,285060361825,43150553113,482,0.0692,0.349,10286,8204,-27.622639,-48.674258
724050697605949,COQUEIROS,Florianopolis,2026-03-10,MANHA,3838,16442,572525156979,86448676499,478,0.068,0.348,11740,9433,-27.594117,-48.571572
724050697397122,ESTREITO_CAPOEIRAS,Florianopolis,2026-03-10,TARDE,1884,8523,126782317516,18918811447,483,0.0673,0.351,6261,4959,-27.5886,-48.590167
724050697397122,ESTREITO_CAPOEIRAS,Florianopolis,2026-03-10,MANHA,1629,7103,103269866560,14944911693,471,0.0675,0.347,5161,4146,-27.5886,-48.590167
7240501003484449,CBD_BEIRAMAR,Florianopolis,2026-03-11,MANHA,2082,9035,129782863183,18810160348,479,0.0671,0.348,6578,5236,-27.594881,-48.54445
7240501003484449,CBD_BEIRAMAR,Florianopolis,2026-03-11,NOITE,2181,9601,144572252214,21632302700,482,0.0682,0.343,6986,5415,-27.594881,-48.54445
724050683983270,CBD_BEIRAMAR,Florianopolis,2026-03-11,MADRUGADA,719,2633,39095806831,5945296869,484,0.0677,0.355,1851,1541,-27.591528,-48.552775
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-11,TARDE,2494,11225,162504225232,24429538022,484,0.069,0.346,8090,6438,-27.591397,-48.54975
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-11,NOITE,2189,9460,139025657592,20604059526,484,0.0698,0.347,6842,5758,-27.591397,-48.54975
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-11,NOITE,2059,9132,135414874947,20140138977,490,0.068,0.35,6314,5245,-27.582264,-48.534361
724050697368777,CBD_BEIRAMAR,Florianopolis,2026-03-11,TARDE,2521,11649,168421290668,25184644379,480,0.068,0.355,8173,6524,-27.595017,-48.548794
7240501003484449,CBD_BEIRAMAR,Florianopolis,2026-03-11,TARDE,2525,11898,176463469681,26678736265,486,0.0693,0.345,8330,6877,-27.594881,-48.54445
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-11,MANHA,2101,9300,144730072839,22019501408,482,0.0685,0.347,6638,5285,-27.585,-48.543889
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-11,TARDE,2444,11321,166369582426,24676674930,485,0.0671,0.352,7995,6468,-27.585,-48.543889
7240501003862800,CBD_BEIRAMAR,Florianopolis,2026-03-11,NOITE,2158,9318,138137583757,20537540010,479,0.0685,0.355,6771,5432,-27.586028,-48.547444
7240501003862800,CBD_BEIRAMAR,Florianopolis,2026-03-11,MANHA,2140,9544,139857982332,21107775914,483,0.0687,0.35,6848,5360,-27.586028,-48.547444
724050696484153,TRINDADE,Florianopolis,2026-03-12,MANHA,2061,9146,120887786928,17840713866,483,0.0685,0.352,6597,5223,-27.612097,-48.543378
7240501000087309,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-12,NOITE,1860,8399,116230040765,17579728456,484,0.0695,0.35,5907,4762,-27.584058,-48.619528
7240501000087309,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-12,TARDE,2079,9645,133023586294,20142548909,488,0.0696,0.348,6888,5658,-27.584058,-48.619528
724050698422520,SC401_CORREDOR,Florianopolis,2026-03-12,NOITE,1653,7316,106032817328,16022319369,474,0.0694,0.345,5138,4096,-27.5843,-48.501864
724050698422520,SC401_CORREDOR,Florianopolis,2026-03-12,MANHA,1684,7329,107603496595,16249092924,489,0.0692,0.357,5200,4159,-27.5843,-48.501864
724050685015378,SAO_JOSE_ROÇADO,Sao Jose,2026-03-12,TARDE,1438,6722,88696326145,13586929058,475,0.0678,0.346,4740,3738,-27.567222,-48.617175
7240501005162775,CANASVIEIRAS,Florianopolis,2026-03-12,TARDE,2413,11815,187434423478,27876329875,481,0.069,0.358,8317,6707,-27.434294,-48.460597
7240501005162775,CANASVIEIRAS,Florianopolis,2026-03-12,MANHA,2033,9004,145180291676,21819790321,479,0.0687,0.348,6414,5058,-27.434294,-48.460597
724050683898841,TRINDADE,Florianopolis,2026-03-12,MANHA,2122,9329,137238161416,20597091794,480,0.07,0.345,6672,5370,-27.594028,-48.520928
724050683898841,TRINDADE,Florianopolis,2026-03-12,TARDE,2496,11436,184311023317,27435761127,481,0.0682,0.348,8092,6522,-27.594028,-48.520928
7240501003484449,CBD_BEIRAMAR,Florianopolis,2026-03-13,MANHA,2119,9434,140648488538,21260776080,483,0.0683,0.358,6650,5307,-27.594881,-48.54445
7240501003484449,CBD_BEIRAMAR,Florianopolis,2026-03-13,NOITE,2180,9723,144537239095,21700504125,489,0.0693,0.354,6814,5581,-27.594881,-48.54445
7240501003484449,CBD_BEIRAMAR,Florianopolis,2026-03-13,TARDE,2573,11845,174852637324,26810036332,491,0.0678,0.352,8427,6678,-27.594881,-48.54445
724050697792102,CBD_BEIRAMAR,Florianopolis,2026-03-13,MANHA,2077,8939,134570309646,19975143648,484,0.0694,0.356,6546,5253,-27.591372,-48.552747
724050697792102,CBD_BEIRAMAR,Florianopolis,2026-03-13,NOITE,2140,9333,138569820493,21109527821,490,0.0674,0.345,6746,5275,-27.591372,-48.552747
724050683983270,CBD_BEIRAMAR,Florianopolis,2026-03-13,TARDE,2492,11449,161260917989,24554171643,475,0.0692,0.354,8147,6441,-27.591528,-48.552775
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-13,MANHA,2034,8955,124099539457,18744400297,480,0.0687,0.356,6338,5029,-27.591397,-48.54975
7240501003862800,CBD_BEIRAMAR,Florianopolis,2026-03-13,NOITE,2170,9452,140190026045,21348427337,482,0.0682,0.352,6707,5383,-27.586028,-48.547444
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-13,MANHA,2054,9141,136018843737,20093121123,468,0.0683,0.357,6474,5156,-27.585,-48.543889
7240501005162600,CBD_BEIRAMAR,Florianopolis,2026-03-13,TARDE,2425,11002,167389367760,25147070420,483,0.0683,0.347,7856,6489,-27.585,-48.543889
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-14,MANHA,1446,5786,104418425056,15543000721,484,0.0701,0.345,4050,3300,-27.5834,-48.544683
724050683983270,CBD_BEIRAMAR,Florianopolis,2026-03-14,TARDE,2640,12528,227714512229,33590094600,482,0.0678,0.347,9182,7072,-27.591528,-48.552775
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-14,NOITE,2500,11819,206891501647,30026456316,488,0.0689,0.35,8409,6720,-27.591397,-48.54975
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-14,MADRUGADA,645,2429,44736974106,6524736244,489,0.069,0.356,1706,1384,-27.591397,-48.54975
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-14,MANHA,1397,5632,110423739855,16446731546,479,0.0689,0.346,3992,3244,-27.591397,-48.54975
724050697342190,CBD_BEIRAMAR,Florianopolis,2026-03-14,TARDE,2612,12388,229367923293,34532822506,480,0.0684,0.345,8794,7234,-27.5834,-48.544683
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-14,NOITE,2553,12116,223944589349,33724635826,475,0.0698,0.351,8682,6895,-27.582264,-48.534361
724050697605965,CBD_BEIRAMAR,Florianopolis,2026-03-14,MADRUGADA,624,2285,48040614357,7307681407,464,0.0679,0.354,1613,1293,-27.582264,-48.534361
724050697792102,CBD_BEIRAMAR,Florianopolis,2026-03-14,NOITE,2500,11631,218140429660,32287157567,472,0.0683,0.354,8155,6556,-27.591372,-48.552747
7240501003494940,SC401_CORREDOR,Florianopolis,2026-03-15,MADRUGADA,448,1657,29259051678,4424231269,508,0.0666,0.345,1219,930,-27.578531,-48.510769
7240501003494940,SC401_CORREDOR,Florianopolis,2026-03-15,MANHA,1020,4209,68768821773,10466192456,479,0.0686,0.354,2927,2309,-27.578531,-48.510769
7240501003494940,SC401_CORREDOR,Florianopolis,2026-03-15,NOITE,1923,8936,148592728952,21833685687,489,0.0684,0.348,6450,5200,-27.578531,-48.510769
724050684641828,CAMPECHE,Florianopolis,2026-03-15,NOITE,2163,9990,168099464692,24904240350,485,0.0686,0.342,7268,5942,-27.656481,-48.509303
7240501005162660,JURERE,Florianopolis,2026-03-15,TARDE,2096,9991,184195231190,27298802048,474,0.069,0.356,7348,5756,-27.439567,-48.501131
7240501005162660,JURERE,Florianopolis,2026-03-15,MANHA,1155,4793,82768816319,12494441288,466,0.0693,0.35,3388,2720,-27.439567,-48.501131
7240501005162767,TRINDADE,Florianopolis,2026-03-15,TARDE,2661,12627,230507547912,34416211753,481,0.0687,0.344,9015,7345,-27.583889,-48.523889
724050696483882,LAGOA_CONCEICAO,Florianopolis,2026-03-15,TARDE,2271,10635,198293306234,30042935891,472,0.0683,0.348,7636,6153,-27.599642,-48.468531
724050698410270,INGLESES,Florianopolis,2026-03-15,MANHA,1140,4628,79806495127,11978143719,487,0.0679,0.356,3379,2643,-27.462892,-48.383642
724050698410270,INGLESES,Florianopolis,2026-03-15,TARDE,2071,9901,185292798897,27904268778,482,0.0686,0.347,7163,5668,-27.462892,-48.383642
724050699842719,SAO_JOSE_ROÇADO,Sao Jose,2026-03-01,MANHA,774,3005,45993864424,6762298670,484,0.0667,0.36,2137,1838,-27.56575,-48.626139
724050698410254,JURERE,Florianopolis,2026-03-01,NOITE,2084,10086,177839473976,26785844858,486,0.0686,0.352,7192,5707,-27.489517,-48.535633
724050698410254,JURERE,Florianopolis,2026-03-01,TARDE,2139,10273,182875677821,27258222974,483,0.0679,0.345,7200,5864,-27.489517,-48.535633
724050697605949,COQUEIROS,Florianopolis,2026-03-01,TARDE,4836,21966,979872754065,147860695009,481,0.069,0.354,15648,12690,-27.594117,-48.571572
7240501005172215,NORTE_ILHA,Florianopolis,2026-03-01,NOITE,1949,9152,161653696635,24059409696,480,0.0693,0.353,6469,5257,-27.451806,-48.452108
7240501005172215,NORTE_ILHA,Florianopolis,2026-03-01,MADRUGADA,489,1771,32309986861,4751713217,464,0.0732,0.36,1249,1008,-27.451806,-48.452108
724050683793438,NORTE_ILHA,Florianopolis,2026-03-02,TARDE,1706,7681,102906160428,15575960430,482,0.069,0.349,5370,4424,-27.482269,-48.491897
724050683793438,NORTE_ILHA,Florianopolis,2026-03-02,NOITE,1564,6831,93689988865,14178814121,472,0.0673,0.36,4786,3840,-27.482269,-48.491897
7240501003862931,CBD_BEIRAMAR,Florianopolis,2026-03-02,MANHA,2068,9004,130634022206,19991439379,473,0.0684,0.35,6420,5240,-27.591397,-48.54975
724050699844282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-03,MANHA,1728,7527,112689836166,16946175587,469,0.07,0.352,5379,4307,-27.594139,-48.612611
724050699844282,SAO_JOSE_KOBRASOL,Sao Jose,2026-03-03,NOITE,1785,8006,115648280308,17734136272,482,0.0687,0.355,5657,4608,-27.594139,-48.612611
724050683935003,UFSC,Florianopolis,2026-03-03,MANHA,2221,9956,155542986581,23347149033,481,0.0679,0.349,7144,5705,-27.594397,-48.556111
724050683935003,UFSC,Florianopolis,2026-03-03,TARDE,2634,12599,192029852886,28450593409,485,0.0683,0.353,8831,7055,-27.594397,-48.556111
724050684145529,LAGOA_CONCEICAO,Florianopolis,2026-03-03,TARDE,2124,9761,133138385947,19920076723,486,0.0692,0.342,6863,5592,-27.6044,-48.4752
724050699871808,SAO_JOSE_CENTRO,Sao Jose,2026-03-03,TARDE,3889,19153,347285688705,52341998582,478,0.0698,0.349,13354,10910,-27.618972,-48.634694
7240501005162864,LAGOA_CONCEICAO,Florianopolis,2026-03-04,MANHA,1665,7291,103127360578,15559935192,482,0.0687,0.346,5277,4184,-27.609442,-48.449442
724050699871808,SAO_JOSE_CENTRO,Sao Jose,2026-03-04,NOITE,3451,15904,306828466334,45561189810,479,0.0682,0.347,11528,9087,-27.618972,-48.634694
7240501005162694,NORTE_ILHA,Florianopolis,2026-03-04,TARDE,1874,8540,120109897671,17919044070,476,0.0668,0.353,6193,5018,-27.481442,-48.49175
724050696483882,LAGOA_CONCEICAO,Florianopolis,2026-03-04,TARDE,2070,9899,131689154464,19479249340,481,0.0691,0.358,7071,5746,-27.599642,-48.468531
724050696483882,LAGOA_CONCEICAO,Florianopolis,2026-03-04,MANHA,1811,8102,115449188503,17559826299,484,0.0689,0.346,5842,4628,-27.599642,-48.468531
7240501003370664,SAO_JOSE_BARREIROS,Palhoca,2026-03-05,NOITE,3884,16821,579930039631,86079141151,478,0.0691,0.349,11955,9478,-27.673358,-48.656689
