ecgi_origem,lat_origem,lon_origem,cluster_origem,municipio_origem,ecgi_destino,lat_destino,lon_destino,cluster_destino,municipio_destino,n_usuarios,n_transicoes,dist_km,periodo_predominante,pct_do_cluster_origem
724050684142660,-27.6075,-48.638889,SAO_JOSE_KOBRASOL,Sao Jose,724050699925215,-27.578972,-48.609,ESTREITO_CAPOEIRAS,Sao Jose,193,196,4.329,MANHA,0.7
724050699925215,-27.578972,-48.609,ESTREITO_CAPOEIRAS,Sao Jose,724050687263808,-27.439722,-48.387592,INGLESES,Florianopolis,171,171,26.769,MANHA,0.6
724050687263808,-27.439722,-48.387592,INGLESES,Florianopolis,7240501003861722,-27.601811,-48.526975,TRINDADE,Florianopolis,200,206,22.666,MANHA,0.8
7240501003861722,-27.601811,-48.526975,TRINDADE,Florianopolis,7240501005162660,-27.439567,-48.501131,JURERE,Florianopolis,194,194,18.22,MANHA,0.6
7240501005162660,-27.439567,-48.501131,JURERE,Florianopolis,724050699925282,-27.599583,-48.620278,SAO_JOSE_KOBRASOL,Sao Jose,195,196,21.322,MANHA,0.8
724050699925282,-27.599583,-48.620278,SAO_JOSE_KOBRASOL,Sao Jose,724050697397122,-27.5886,-48.590167,ESTREITO_CAPOEIRAS,Florianopolis,207,213,3.209,MANHA,0.7
724050687263808,-27.439722,-48.387592,INGLESES,Florianopolis,724050699979439,-27.600028,-48.608417,SAO_JOSE_CENTRO,Sao Jose,199,200,28.141,MANHA,0.8
724050699979439,-27.600028,-48.608417,SAO_JOSE_CENTRO,Sao Jose,7240501005309970,-27.699858,-48.550608,AEROPORTO_HLZ,Florianopolis,218,223,12.476,MANHA,0.7
7240501005309970,-27.699858,-48.550608,AEROPORTO_HLZ,Florianopolis,724050697545253,-27.537189,-48.527061,SC401_CORREDOR,Florianopolis,207,211,18.236,MANHA,0.8
724050697545253,-27.537189,-48.527061,SC401_CORREDOR,Florianopolis,724050698820053,-27.750786,-48.508767,CAMPECHE,Florianopolis,219,223,23.819,MANHA,0.8
724050684142457,-27.585,-48.544722,CBD_BEIRAMAR,Florianopolis,7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,1562,1627,0.082,MANHA,4.9
7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,1501,1552,0.194,MANHA,4.7
724050699109710,-27.439417,-48.387583,INGLESES,Florianopolis,724050699925258,-27.5465,-48.629694,SAO_JOSE_ROÇADO,Sao Jose,207,211,26.685,MANHA,0.8
724050699925258,-27.5465,-48.629694,SAO_JOSE_ROÇADO,Sao Jose,7240501005162589,-27.751942,-48.504442,CAMPECHE,Florianopolis,191,192,25.963,MANHA,0.8
7240501005162589,-27.751942,-48.504442,CAMPECHE,Florianopolis,7240501005162678,-27.578497,-48.510581,SC401_CORREDOR,Florianopolis,190,191,19.296,MANHA,0.7
7240501005162678,-27.578497,-48.510581,SC401_CORREDOR,Florianopolis,724050699925282,-27.599583,-48.620278,SAO_JOSE_KOBRASOL,Sao Jose,202,203,11.062,MANHA,0.8
724050699925282,-27.599583,-48.620278,SAO_JOSE_KOBRASOL,Sao Jose,7240501004978224,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,211,212,10.705,MANHA,0.8
724050687263808,-27.439722,-48.387592,INGLESES,Florianopolis,7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,198,201,22.328,MANHA,0.8
7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,724050697341879,-27.542733,-48.505306,RESIDENCIAL_NORTE,Florianopolis,185,190,6.046,MANHA,0.6
724050697341879,-27.542733,-48.505306,RESIDENCIAL_NORTE,Florianopolis,7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,223,228,8.044,MANHA,0.8
7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,7240501005309970,-27.699858,-48.550608,AEROPORTO_HLZ,Florianopolis,190,190,18.261,MANHA,0.7
7240501005309970,-27.699858,-48.550608,AEROPORTO_HLZ,Florianopolis,7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,184,186,12.061,MANHA,0.7
7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,724050699871808,-27.618972,-48.634694,SAO_JOSE_CENTRO,Sao Jose,178,180,8.914,MANHA,0.6
7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,7240501003510334,-27.580392,-48.542172,CBD_BEIRAMAR,Florianopolis,1535,1587,0.54,MANHA,4.8
7240501003510334,-27.580392,-48.542172,CBD_BEIRAMAR,Florianopolis,724050697792102,-27.591372,-48.552747,CBD_BEIRAMAR,Florianopolis,1519,1578,1.605,MANHA,4.8
724050697792102,-27.591372,-48.552747,CBD_BEIRAMAR,Florianopolis,724050684144778,-27.595694,-48.548194,CBD_BEIRAMAR,Florianopolis,1483,1546,0.657,MANHA,4.7
724050684144778,-27.595694,-48.548194,CBD_BEIRAMAR,Florianopolis,724050697368777,-27.595017,-48.548794,CBD_BEIRAMAR,Florianopolis,1528,1573,0.096,MANHA,4.8
724050697368777,-27.595017,-48.548794,CBD_BEIRAMAR,Florianopolis,724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,1525,1604,2.009,MANHA,4.8
724050697605949,-27.594117,-48.571572,COQUEIROS,Florianopolis,724050697397122,-27.5886,-48.590167,ESTREITO_CAPOEIRAS,Florianopolis,191,194,1.932,MANHA,0.8
724050697397122,-27.5886,-48.590167,ESTREITO_CAPOEIRAS,Florianopolis,724050685015130,-27.622639,-48.674258,PALHOCA_PEDRA_BRANCA,Palhoca,180,182,9.11,MANHA,0.7
724050683983270,-27.591528,-48.552775,CBD_BEIRAMAR,Florianopolis,7240501003484449,-27.594881,-48.54445,CBD_BEIRAMAR,Florianopolis,1518,1580,0.901,MANHA,4.8
7240501003484449,-27.594881,-48.54445,CBD_BEIRAMAR,Florianopolis,7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,1505,1574,1.1,MANHA,4.7
7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,724050697368777,-27.595017,-48.548794,CBD_BEIRAMAR,Florianopolis,1526,1571,1.214,MANHA,4.8
724050697368777,-27.595017,-48.548794,CBD_BEIRAMAR,Florianopolis,7240501003862800,-27.586028,-48.547444,CBD_BEIRAMAR,Florianopolis,1482,1543,1.008,MANHA,4.7
7240501003862800,-27.586028,-48.547444,CBD_BEIRAMAR,Florianopolis,7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,1549,1630,0.639,MANHA,4.8
7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,1473,1524,1.825,MANHA,4.6
724050698422520,-27.5843,-48.501864,SC401_CORREDOR,Florianopolis,7240501005162775,-27.434294,-48.460597,CANASVIEIRAS,Florianopolis,204,206,17.169,MANHA,0.8
7240501005162775,-27.434294,-48.460597,CANASVIEIRAS,Florianopolis,724050683898841,-27.594028,-48.520928,TRINDADE,Florianopolis,203,204,18.732,MANHA,0.8
724050683898841,-27.594028,-48.520928,TRINDADE,Florianopolis,724050696484153,-27.612097,-48.543378,TRINDADE,Florianopolis,2198,2437,2.988,MANHA,7.3
724050696484153,-27.612097,-48.543378,TRINDADE,Florianopolis,7240501000087309,-27.584058,-48.619528,SAO_JOSE_KOBRASOL,Sao Jose,211,216,8.126,MANHA,0.7
7240501000087309,-27.584058,-48.619528,SAO_JOSE_KOBRASOL,Sao Jose,724050685015378,-27.567222,-48.617175,SAO_JOSE_ROÇADO,Sao Jose,210,214,1.886,MANHA,0.8
7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,1496,1557,0.916,MANHA,4.7
7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,7240501003484449,-27.594881,-48.54445,CBD_BEIRAMAR,Florianopolis,1527,1574,1.1,MANHA,4.8
7240501003484449,-27.594881,-48.54445,CBD_BEIRAMAR,Florianopolis,724050683983270,-27.591528,-48.552775,CBD_BEIRAMAR,Florianopolis,1544,1611,0.901,MANHA,4.8
724050683983270,-27.591528,-48.552775,CBD_BEIRAMAR,Florianopolis,724050697792102,-27.591372,-48.552747,CBD_BEIRAMAR,Florianopolis,1548,1615,0.018,MANHA,4.9
724050697792102,-27.591372,-48.552747,CBD_BEIRAMAR,Florianopolis,7240501003862800,-27.586028,-48.547444,CBD_BEIRAMAR,Florianopolis,1594,1663,0.791,MANHA,5.0
724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,1529,1588,1.825,MANHA,4.8
7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,1479,1540,1.02,MANHA,4.6
724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,724050683983270,-27.591528,-48.552775,CBD_BEIRAMAR,Florianopolis,1452,1513,1.205,MANHA,4.6
724050698410270,-27.462892,-48.383642,INGLESES,Florianopolis,7240501003494940,-27.578531,-48.510769,SC401_CORREDOR,Florianopolis,206,207,17.958,MANHA,0.8
7240501003494940,-27.578531,-48.510769,SC401_CORREDOR,Florianopolis,7240501005162660,-27.439567,-48.501131,JURERE,Florianopolis,179,180,15.481,TARDE,0.7
7240501005162660,-27.439567,-48.501131,JURERE,Florianopolis,7240501005162767,-27.583889,-48.523889,TRINDADE,Florianopolis,213,214,16.204,MANHA,0.8
7240501005162767,-27.583889,-48.523889,TRINDADE,Florianopolis,724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,193,197,5.73,MANHA,0.6
724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,724050684641828,-27.656481,-48.509303,CAMPECHE,Florianopolis,192,192,7.489,MANHA,0.7
7240501005172215,-27.451806,-48.452108,NORTE_ILHA,Florianopolis,724050699842719,-27.56575,-48.626139,SAO_JOSE_ROÇADO,Sao Jose,173,174,21.333,MANHA,0.7
724050699842719,-27.56575,-48.626139,SAO_JOSE_ROÇADO,Sao Jose,724050698410254,-27.489517,-48.535633,JURERE,Florianopolis,216,218,12.309,MANHA,0.9
724050698410254,-27.489517,-48.535633,JURERE,Florianopolis,724050697605949,-27.594117,-48.571572,COQUEIROS,Florianopolis,195,198,12.159,MANHA,0.8
7240501003862931,-27.591397,-48.54975,CBD_BEIRAMAR,Florianopolis,724050683793438,-27.482269,-48.491897,NORTE_ILHA,Florianopolis,219,223,13.408,MANHA,0.7
724050699844282,-27.594139,-48.612611,SAO_JOSE_KOBRASOL,Sao Jose,724050683935003,-27.594397,-48.556111,UFSC,Florianopolis,192,196,5.568,MANHA,0.7
724050683935003,-27.594397,-48.556111,UFSC,Florianopolis,724050699871808,-27.618972,-48.634694,SAO_JOSE_CENTRO,Sao Jose,186,186,8.211,MANHA,0.6
724050699871808,-27.618972,-48.634694,SAO_JOSE_CENTRO,Sao Jose,724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,193,195,15.798,MANHA,0.6
7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,1577,1765,2.174,MANHA,5.9
724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,7240501005162694,-27.481442,-48.49175,NORTE_ILHA,Florianopolis,229,235,13.341,MANHA,0.8
7240501005162694,-27.481442,-48.49175,NORTE_ILHA,Florianopolis,724050699871808,-27.618972,-48.634694,SAO_JOSE_CENTRO,Sao Jose,219,221,20.796,MANHA,0.9
7240501005162627,-27.603889,-48.577778,VIA_EXPRESSA_CORREDOR,Florianopolis,7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,176,178,14.781,MANHA,0.7
7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,7240501005162619,-27.588331,-48.498056,TRINDADE,Florianopolis,200,202,6.737,MANHA,0.7
724050685015394,-27.586064,-48.609675,SAO_JOSE_KOBRASOL,Sao Jose,7240501005162694,-27.481442,-48.49175,NORTE_ILHA,Florianopolis,208,211,16.448,MANHA,0.7
7240501005162694,-27.481442,-48.49175,NORTE_ILHA,Florianopolis,724050683935135,-27.4292,-48.458697,CANASVIEIRAS,Florianopolis,184,185,6.662,MANHA,0.7
724050699109663,-27.482361,-48.491944,NORTE_ILHA,Florianopolis,7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,196,200,12.51,MANHA,0.8
7240501005162600,-27.585,-48.543889,CBD_BEIRAMAR,Florianopolis,7240501004550410,-27.590569,-48.557111,UFSC,Florianopolis,186,187,1.443,MANHA,0.6
7240501004978224,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,724050699861578,-27.572972,-48.617889,SAO_JOSE_KOBRASOL,Sao Jose,195,198,8.049,MANHA,0.7
7240501005162767,-27.583889,-48.523889,TRINDADE,Florianopolis,7240501005162732,-27.496108,-48.418608,NORTE_ILHA,Florianopolis,188,190,14.249,MANHA,0.6
7240501005162732,-27.496108,-48.418608,NORTE_ILHA,Florianopolis,724050696484315,-27.43975,-48.419811,INGLESES,Florianopolis,197,202,6.268,MANHA,0.8
724050696484315,-27.43975,-48.419811,INGLESES,Florianopolis,724050683790307,-27.5865,-48.4968,SC401_CORREDOR,Florianopolis,205,210,17.998,MANHA,0.8
724050683790307,-27.5865,-48.4968,SC401_CORREDOR,Florianopolis,724050699654432,-27.594083,-48.521139,TRINDADE,Florianopolis,208,214,2.542,MANHA,0.8
724050699654432,-27.594083,-48.521139,TRINDADE,Florianopolis,7240501004978224,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,201,206,16.226,MANHA,0.7
7240501004978224,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,7240501005162783,-27.596942,-48.549719,UFSC,Florianopolis,206,206,14.266,MANHA,0.8
7240501005162783,-27.596942,-48.549719,UFSC,Florianopolis,724050699861772,-27.592778,-48.606389,ESTREITO_CAPOEIRAS,Sao Jose,199,200,5.604,MANHA,0.7
724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,1617,1808,0.844,MANHA,5.9
724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,724050699654513,-27.572611,-48.430139,LAGOA_CONCEICAO,Florianopolis,1540,1754,5.676,MANHA,5.7
724050688192491,-27.570694,-48.644742,SAO_JOSE_ROÇADO,Sao Jose,7240501005162724,-27.658331,-48.505831,CAMPECHE,Florianopolis,192,192,16.801,MANHA,0.9
7240501005162724,-27.658331,-48.505831,CAMPECHE,Florianopolis,724050697341879,-27.542733,-48.505306,RESIDENCIAL_NORTE,Florianopolis,201,204,12.854,MANHA,0.7
724050697341879,-27.542733,-48.505306,RESIDENCIAL_NORTE,Florianopolis,724050699861578,-27.572972,-48.617889,SAO_JOSE_KOBRASOL,Sao Jose,190,192,11.597,MANHA,0.7
724050699861578,-27.572972,-48.617889,SAO_JOSE_KOBRASOL,Sao Jose,7240501005162775,-27.434294,-48.460597,CANASVIEIRAS,Florianopolis,191,194,21.873,MANHA,0.7
7240501005162775,-27.434294,-48.460597,CANASVIEIRAS,Florianopolis,724050698422520,-27.5843,-48.501864,SC401_CORREDOR,Florianopolis,203,205,17.169,MANHA,0.8
724050698422520,-27.5843,-48.501864,SC401_CORREDOR,Florianopolis,7240501005162546,-27.680831,-48.4925,CAMPECHE,Florianopolis,216,218,10.773,MANHA,0.8
7240501005162716,-27.633306,-48.473306,LAGOA_CONCEICAO,Florianopolis,7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,1568,1767,3.545,MANHA,5.8
724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,724050699654556,-27.63325,-48.473389,LAGOA_CONCEICAO,Florianopolis,1666,1879,3.768,MANHA,6.1
724050699654556,-27.63325,-48.473389,LAGOA_CONCEICAO,Florianopolis,7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,1589,1777,7.776,MANHA,5.9
7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,724050699654513,-27.572611,-48.430139,LAGOA_CONCEICAO,Florianopolis,1611,1793,0.207,MANHA,5.9
724050699654513,-27.572611,-48.430139,LAGOA_CONCEICAO,Florianopolis,7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,1626,1824,4.516,MANHA,6.1
7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,7240501005162716,-27.633306,-48.473306,LAGOA_CONCEICAO,Florianopolis,1576,1758,3.545,MANHA,5.9
724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,724050699654556,-27.63325,-48.473389,LAGOA_CONCEICAO,Florianopolis,1568,1767,3.213,MANHA,5.8
7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,724050696483882,-27.599642,-48.468531,LAGOA_CONCEICAO,Florianopolis,1582,1799,4.626,MANHA,5.8
724050697545253,-27.537189,-48.527061,SC401_CORREDOR,Florianopolis,724050696484293,-27.434297,-48.460603,CANASVIEIRAS,Florianopolis,214,217,13.186,MANHA,0.8
724050696484293,-27.434297,-48.460603,CANASVIEIRAS,Florianopolis,7240501005162554,-27.616389,-48.587497,VIA_EXPRESSA_CORREDOR,Florianopolis,209,215,23.802,MANHA,0.8
7240501005162554,-27.616389,-48.587497,VIA_EXPRESSA_CORREDOR,Florianopolis,7240501005162767,-27.583889,-48.523889,TRINDADE,Florianopolis,208,211,7.235,MANHA,0.8
7240501005162767,-27.583889,-48.523889,TRINDADE,Florianopolis,7240501005162694,-27.481442,-48.49175,NORTE_ILHA,Florianopolis,186,187,11.824,MANHA,0.6
7240501005162694,-27.481442,-48.49175,NORTE_ILHA,Florianopolis,7240501003495076,-27.594458,-48.637742,SAO_JOSE_KOBRASOL,Sao Jose,200,206,19.108,MANHA,0.8
7240501003495076,-27.594458,-48.637742,SAO_JOSE_KOBRASOL,Sao Jose,7240501003962715,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,203,205,9.737,MANHA,0.7
7240501003962715,-27.508108,-48.654131,BIGUACU_BR101_NORTE,Biguacu,724050699925240,-27.571944,-48.603917,ESTREITO_CAPOEIRAS,Sao Jose,172,176,8.654,MANHA,0.6
724050699654432,-27.594083,-48.521139,TRINDADE,Florianopolis,7240501003494940,-27.578531,-48.510769,SC401_CORREDOR,Florianopolis,183,186,2.009,MANHA,0.6
7240501003494940,-27.578531,-48.510769,SC401_CORREDOR,Florianopolis,7240501003495076,-27.594458,-48.637742,SAO_JOSE_KOBRASOL,Sao Jose,184,185,12.638,MANHA,0.7
7240501003495076,-27.594458,-48.637742,SAO_JOSE_KOBRASOL,Sao Jose,724050699925215,-27.578972,-48.609,ESTREITO_CAPOEIRAS,Sao Jose,194,197,3.315,MANHA,0.7
724050699654432,-27.594083,-48.521139,TRINDADE,Florianopolis,724050699521815,-27.443222,-48.507111,JURERE,Florianopolis,194,197,16.832,MANHA,0.6
724050699521815,-27.443222,-48.507111,JURERE,Florianopolis,724050698820037,-27.658469,-48.506081,CAMPECHE,Florianopolis,194,194,23.935,MANHA,0.8
724050698820037,-27.658469,-48.506081,CAMPECHE,Florianopolis,724050699979439,-27.600028,-48.608417,SAO_JOSE_CENTRO,Sao Jose,203,211,11.994,MANHA,0.7
724050699979439,-27.600028,-48.608417,SAO_JOSE_CENTRO,Sao Jose,7240501005172215,-27.451806,-48.452108,NORTE_ILHA,Florianopolis,186,188,22.566,MANHA,0.6
7240501003484449,-27.594881,-48.54445,CBD_BEIRAMAR,Florianopolis,724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,1499,1569,1.72,MANHA,4.7
724050697605965,-27.582264,-48.534361,CBD_BEIRAMAR,Florianopolis,724050683790307,-27.5865,-48.4968,SC401_CORREDOR,Florianopolis,203,203,3.732,MANHA,0.6
724050683790307,-27.5865,-48.4968,SC401_CORREDOR,Florianopolis,7240501005162856,-27.439331,-48.489575,JURERE,Florianopolis,202,202,16.38,MANHA,0.8
7240501005162716,-27.633306,-48.473306,LAGOA_CONCEICAO,Florianopolis,724050699654513,-27.572611,-48.430139,LAGOA_CONCEICAO,Florianopolis,1581,1758,7.978,MANHA,5.8
724050699654513,-27.572611,-48.430139,LAGOA_CONCEICAO,Florianopolis,724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,1584,1755,5.676,MANHA,5.9
724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,1570,1765,5.47,MANHA,5.8
7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,1604,1802,4.324,MANHA,5.9
7240501005162554,-27.616389,-48.587497,VIA_EXPRESSA_CORREDOR,Florianopolis,7240501003861722,-27.601811,-48.526975,TRINDADE,Florianopolis,202,205,6.18,MANHA,0.8
7240501003861722,-27.601811,-48.526975,TRINDADE,Florianopolis,724050699861578,-27.572972,-48.617889,SAO_JOSE_KOBRASOL,Sao Jose,211,216,9.516,MANHA,0.7
724050699861578,-27.572972,-48.617889,SAO_JOSE_KOBRASOL,Sao Jose,724050699109710,-27.439417,-48.387583,INGLESES,Florianopolis,187,190,27.138,MANHA,0.7
724050684144778,-27.595694,-48.548194,CBD_BEIRAMAR,Florianopolis,724050697342212,-27.528831,-48.513689,RESIDENCIAL_NORTE,Florianopolis,188,189,8.176,MANHA,0.6
724050697342212,-27.528831,-48.513689,RESIDENCIAL_NORTE,Florianopolis,724050699871808,-27.618972,-48.634694,SAO_JOSE_CENTRO,Sao Jose,217,223,15.579,MANHA,0.8
724050699871808,-27.618972,-48.634694,SAO_JOSE_CENTRO,Sao Jose,724050698410270,-27.462892,-48.383642,INGLESES,Florianopolis,192,196,30.23,MANHA,0.6
7240501003861722,-27.601811,-48.526975,TRINDADE,Florianopolis,724050685014142,-27.605047,-48.594306,ESTREITO_CAPOEIRAS,Florianopolis,181,183,6.644,MANHA,0.6
724050685014142,-27.605047,-48.594306,ESTREITO_CAPOEIRAS,Florianopolis,7240501003494940,-27.578531,-48.510769,SC401_CORREDOR,Florianopolis,199,201,8.745,MANHA,0.7
7240501003494940,-27.578531,-48.510769,SC401_CORREDOR,Florianopolis,724050698410289,-27.637456,-48.666794,PALHOCA_CENTRO,Palhoca,195,197,16.712,MANHA,0.7
724050698410289,-27.637456,-48.666794,PALHOCA_CENTRO,Palhoca,7240501005162546,-27.680831,-48.4925,CAMPECHE,Florianopolis,196,200,17.831,MANHA,0.9
7240501005162546,-27.680831,-48.4925,CAMPECHE,Florianopolis,724050684144778,-27.595694,-48.548194,CBD_BEIRAMAR,Florianopolis,179,179,10.942,MANHA,0.6
724050699654556,-27.63325,-48.473389,LAGOA_CONCEICAO,Florianopolis,724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,1593,1791,3.213,MANHA,5.9
724050684145529,-27.6044,-48.4752,LAGOA_CONCEICAO,Florianopolis,7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,1529,1710,2.599,MANHA,5.7
7240501005162864,-27.609442,-48.449442,LAGOA_CONCEICAO,Florianopolis,7240501005162597,-27.573889,-48.431667,LAGOA_CONCEICAO,Florianopolis,1534,1740,4.324,MANHA,5.7
724050699654513,-27.572611,-48.430139,LAGOA_CONCEICAO,Florianopolis,7240501005162716,-27.633306,-48.473306,LAGOA_CONCEICAO,Florianopolis,1577,1783,7.978,MANHA,5.9
7240501005319917,-27.56265,-48.516522,SC401_CORREDOR,Florianopolis,7240501005162856,-27.439331,-48.489575,JURERE,Florianopolis,190,193,13.968,MANHA,0.7
7240501005162856,-27.439331,-48.489575,JURERE,Florianopolis,7240501005162538,-27.66,-48.543331,AEROPORTO_HLZ,Florianopolis,177,182,25.103,MANHA,0.7
7240501005162538,-27.66,-48.543331,AEROPORTO_HLZ,Florianopolis,724050699925240,-27.571944,-48.603917,ESTREITO_CAPOEIRAS,Sao Jose,189,193,11.468,MANHA,0.7
724050699925240,-27.571944,-48.603917,ESTREITO_CAPOEIRAS,Sao Jose,724050684142660,-27.6075,-48.638889,SAO_JOSE_KOBRASOL,Sao Jose,193,195,5.245,MANHA,0.7
724050684142660,-27.6075,-48.638889,SAO_JOSE_KOBRASOL,Sao Jose,7240501005162660,-27.439567,-48.501131,JURERE,Florianopolis,192,192,23.092,MANHA,0.7
724050698820053,-27.750786,-48.508767,CAMPECHE,Florianopolis,724050699925282,-27.599583,-48.620278,SAO_JOSE_KOBRASOL,Sao Jose,190,193,20.081,MANHA,0.7
724050699925282,-27.599583,-48.620278,SAO_JOSE_KOBRASOL,Sao Jose,724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,204,205,7.664,MANHA,0.7
724050697342190,-27.5834,-48.544683,CBD_BEIRAMAR,Florianopolis,7240501005162589,-27.751942,-48.504442,CAMPECHE,Florianopolis,199,201,19.155,MANHA,0.6
